Import_ID,HS_Code,Product_Description,Country_of_Origin,Quantity_tonnes,Value_EUR,CO2_Embedded_tCO2,Transport_Mode,Customs_Regime,Sector,CBAM_Subject
30,2716.00,Electricity product (2716.00),Egypt,1278.74,929245.37,27.53,Air,Free circulation,Electricity,Yes
31,2523.90,Cement product (2523.90),Brazil,247.99,152168.92,7.84,Road,Temporary admission,Cement,Yes
32,7606.12,Aluminium product (7606.12),Turkey,1126.94,733782.94,25.11,Sea,Free circulation,Aluminium,Yes
33,2716.00,Electricity product (2716.00),Russia,1050.24,449399.44,6.19,Sea,Transit,Electricity,Yes
34,7601.20,Aluminium product (7601.20),South Africa,224.7,38295.39,6.13,Rail,Transit,Aluminium,Yes
35,3102.10,Fertiliser product (3102.10),USA,635.57,305436.48,23.37,Air,Transit,Fertiliser,Yes
36,7601.10,Aluminium product (7601.10),Russia,506.09,210912.45,15.91,Road,Temporary admission,Aluminium,Yes
37,2804.10,Hydrogen product (2804.10),Brazil,465.31,93079.19,7.05,Sea,Temporary admission,Hydrogen,Yes
38,2523.21,Cement product (2523.21),Turkey,330.83,249546.22,11.01,Road,Transit,Cement,Yes
39,2804.10,Hydrogen product (2804.10),Ukraine,1270.47,910227.45,42.09,Road,Transit,Hydrogen,Yes
40,2716.00,Electricity product (2716.00),Russia,381.27,278389.38,9.1,Road,Inward processing,Electricity,Yes
41,7601.10,Aluminium product (7601.10),Russia,1616.81,1184247.59,26.08,Road,Temporary admission,Aluminium,Yes
42,2523.90,Cement product (2523.90),Russia,229.0,68278.15,4.57,Sea,Transit,Cement,Yes
43,7207.20,Steel product (7207.20),Ukraine,1637.85,1162013.43,8.59,Road,Free circulation,Steel,Yes
44,7606.12,Aluminium product (7606.12),Ukraine,1026.39,432435.71,13.11,Road,Free circulation,Aluminium,Yes
45,2716.00,Electricity product (2716.00),Turkey,248.53,91819.37,9.44,Road,Temporary admission,Electricity,Yes
46,3102.60,Fertiliser product (3102.60),South Africa,653.17,318233.51,19.34,Sea,Transit,Fertiliser,Yes
47,2716.00,Electricity product (2716.00),Saudi Arabia,733.62,573440.2,28.38,Road,Free circulation,Electricity,Yes
48,7207.20,Steel product (7207.20),Turkey,511.05,241834.75,7.94,Rail,Inward processing,Steel,Yes
49,3102.10,Fertiliser product (3102.10),Egypt,576.83,100354.87,15.19,Air,Inward processing,Fertiliser,Yes
50,2716.00,Electricity product (2716.00),USA,1010.33,185356.34,14.91,Rail,Free circulation,Electricity,Yes
51,2804.10,Hydrogen product (2804.10),Saudi Arabia,1817.45,555622.14,18.3,Rail,Transit,Hydrogen,Yes
52,7214.91,Steel product (7214.91),USA,984.01,778029.94,13.26,Sea,Transit,Steel,Yes
53,2804.10,Hydrogen product (2804.10),Ukraine,1347.55,869240.83,17.95,Sea,Transit,Hydrogen,Yes
54,7601.10,Aluminium product (7601.10),Ukraine,1459.15,567695.49,39.59,Road,Transit,Aluminium,Yes
55,7207.20,Steel product (7207.20),Ukraine,1270.72,633140.74,10.37,Air,Transit,Steel,Yes
56,2523.29,Cement product (2523.29),China,1672.25,599513.4,19.28,Sea,Free circulation,Cement,Yes
57,2804.10,Hydrogen product (2804.10),Saudi Arabia,91.14,48676.09,2.62,Sea,Inward processing,Hydrogen,Yes
58,7214.91,Steel product (7214.91),Russia,43.01,20767.83,0.56,Road,Transit,Steel,Yes
59,2523.21,Cement product (2523.21),Turkey,1293.89,340730.64,37.76,Sea,Transit,Cement,Yes
60,2716.00,Electricity product (2716.00),Russia,779.6,591618.55,7.65,Air,Temporary admission,Electricity,Yes
61,2804.10,Hydrogen product (2804.10),China,688.72,154106.46,25.73,Road,Transit,Hydrogen,Yes
62,2523.29,Cement product (2523.29),Brazil,1755.91,557785.98,49.34,Road,Temporary admission,Cement,Yes
63,7207.20,Steel product (7207.20),China,1636.27,835938.48,38.51,Air,Inward processing,Steel,Yes
64,2523.90,Cement product (2523.90),USA,491.29,103424.8,17.88,Rail,Inward processing,Cement,Yes
65,2804.10,Hydrogen product (2804.10),South Africa,1801.83,1011756.28,30.39,Air,Transit,Hydrogen,Yes
66,7214.91,Steel product (7214.91),Brazil,704.93,438375.66,25.66,Road,Temporary admission,Steel,Yes
67,3102.30,Fertiliser product (3102.30),Turkey,1775.3,1166228.49,48.77,Air,Temporary admission,Fertiliser,Yes
68,3102.10,Fertiliser product (3102.10),Saudi Arabia,177.44,45257.61,6.47,Sea,Transit,Fertiliser,Yes
69,2804.10,Hydrogen product (2804.10),Russia,1216.79,189792.57,10.41,Rail,Temporary admission,Hydrogen,Yes
70,2523.90,Cement product (2523.90),Egypt,1330.37,203932.46,14.14,Sea,Inward processing,Cement,Yes
71,2716.00,Electricity product (2716.00),India,1101.98,660892.54,30.66,Rail,Transit,Electricity,Yes
72,2523.21,Cement product (2523.21),South Africa,456.3,279673.8,6.07,Road,Inward processing,Cement,Yes
73,7601.10,Aluminium product (7601.10),Turkey,657.55,417688.53,18.24,Rail,Inward processing,Aluminium,Yes
74,2804.10,Hydrogen product (2804.10),Brazil,1699.95,981633.37,42.31,Sea,Temporary admission,Hydrogen,Yes
75,7601.10,Aluminium product (7601.10),South Africa,196.41,76406.49,2.81,Air,Free circulation,Aluminium,Yes
76,7208.39,Steel product (7208.39),Brazil,495.54,387738.67,9.3,Sea,Temporary admission,Steel,Yes
77,2716.00,Electricity product (2716.00),China,1785.17,1000123.83,58.59,Air,Free circulation,Electricity,Yes
78,2523.29,Cement product (2523.29),South Africa,1010.25,530368.65,22.47,Road,Free circulation,Cement,Yes
79,2716.00,Electricity product (2716.00),Ukraine,398.53,246926.75,5.91,Sea,Transit,Electricity,Yes
80,2523.21,Cement product (2523.21),South Africa,58.39,33256.43,0.65,Air,Free circulation,Cement,Yes
81,2804.10,Hydrogen product (2804.10),Turkey,1881.51,1448863.5,69.65,Air,Inward processing,Hydrogen,Yes
82,3102.10,Fertiliser product (3102.10),Brazil,746.62,119494.14,27.99,Road,Temporary admission,Fertiliser,Yes
83,3102.10,Fertiliser product (3102.10),Ukraine,862.09,670986.74,33.39,Road,Temporary admission,Fertiliser,Yes
84,7214.91,Steel product (7214.91),China,1707.49,582923.05,31.55,Rail,Temporary admission,Steel,Yes
85,7214.91,Steel product (7214.91),Saudi Arabia,1703.76,606537.37,18.63,Road,Inward processing,Steel,Yes
86,2716.00,Electricity product (2716.00),China,1118.03,848026.43,32.83,Sea,Inward processing,Electricity,Yes
87,7601.20,Aluminium product (7601.20),Russia,1144.42,243949.97,30.36,Rail,Free circulation,Aluminium,Yes
88,7601.10,Aluminium product (7601.10),Brazil,1980.21,477338.75,45.83,Sea,Temporary admission,Aluminium,Yes
89,2523.21,Cement product (2523.21),Saudi Arabia,1755.97,1108894.36,51.62,Sea,Temporary admission,Cement,Yes
90,7601.20,Aluminium product (7601.20),Russia,1407.94,540183.28,21.51,Rail,Inward processing,Aluminium,Yes
91,7601.10,Aluminium product (7601.10),USA,1620.63,1096475.65,57.29,Air,Temporary admission,Aluminium,Yes
92,2523.29,Cement product (2523.29),India,1827.35,881463.5,41.21,Air,Transit,Cement,Yes
93,3102.30,Fertiliser product (3102.30),Brazil,1598.61,915166.75,47.27,Rail,Free circulation,Fertiliser,Yes
94,2716.00,Electricity product (2716.00),Russia,1593.63,1160964.99,26.82,Air,Temporary admission,Electricity,Yes
95,2716.00,Electricity product (2716.00),China,757.41,159880.36,19.12,Rail,Temporary admission,Electricity,Yes
96,3102.60,Fertiliser product (3102.60),USA,81.53,36903.63,1.96,Road,Transit,Fertiliser,Yes
97,2716.00,Electricity product (2716.00),South Africa,580.22,309861.63,3.52,Road,Free circulation,Electricity,Yes
98,2523.21,Cement product (2523.21),Saudi Arabia,84.32,57733.09,1.48,Road,Temporary admission,Cement,Yes
99,7601.20,Aluminium product (7601.20),South Africa,262.85,128654.07,8.4,Sea,Inward processing,Aluminium,Yes
100,7601.10,Aluminium product (7601.10),Saudi Arabia,439.48,243858.14,3.51,Road,Temporary admission,Aluminium,Yes
101,2523.21,Cement product (2523.21),Ukraine,112.85,55903.69,2.7,Air,Transit,Cement,Yes
102,2804.10,Hydrogen product (2804.10),South Africa,1278.49,795168.83,50.06,Rail,Inward processing,Hydrogen,Yes
103,2804.10,Hydrogen product (2804.10),USA,1037.44,373397.18,34.06,Sea,Temporary admission,Hydrogen,Yes
104,7601.20,Aluminium product (7601.20),Ukraine,548.96,238979.54,4.25,Road,Inward processing,Aluminium,Yes
105,7207.20,Steel product (7207.20),USA,60.45,46892.36,2.07,Road,Inward processing,Steel,Yes
106,3102.60,Fertiliser product (3102.60),Egypt,1394.99,580063.92,15.44,Sea,Inward processing,Fertiliser,Yes
107,2523.29,Cement product (2523.29),China,321.31,100460.1,7.78,Sea,Free circulation,Cement,Yes
108,2716.00,Electricity product (2716.00),Brazil,1432.05,829340.67,21.19,Rail,Transit,Electricity,Yes
109,2804.10,Hydrogen product (2804.10),Egypt,1910.18,1202712.36,46.61,Sea,Inward processing,Hydrogen,Yes
110,2716.00,Electricity product (2716.00),Turkey,1227.32,518837.31,16.78,Rail,Temporary admission,Electricity,Yes
111,3102.60,Fertiliser product (3102.60),South Africa,718.39,461637.39,3.95,Road,Temporary admission,Fertiliser,Yes
112,3102.60,Fertiliser product (3102.60),South Africa,240.98,43352.72,1.55,Rail,Temporary admission,Fertiliser,Yes
113,2804.10,Hydrogen product (2804.10),India,1712.37,1040055.2,36.98,Sea,Inward processing,Hydrogen,Yes
114,7601.20,Aluminium product (7601.20),China,204.69,96112.25,4.42,Sea,Free circulation,Aluminium,Yes
115,2804.10,Hydrogen product (2804.10),Ukraine,354.67,153218.71,6.72,Rail,Free circulation,Hydrogen,Yes
116,2716.00,Electricity product (2716.00),Egypt,1235.54,695375.35,8.14,Air,Free circulation,Electricity,Yes
117,2523.90,Cement product (2523.90),Egypt,755.48,420658.02,17.08,Road,Temporary admission,Cement,Yes
118,7601.20,Aluminium product (7601.20),India,1714.41,991187.62,18.35,Air,Transit,Aluminium,Yes
119,7606.12,Aluminium product (7606.12),China,150.43,85379.94,0.89,Air,Inward processing,Aluminium,Yes
120,7601.10,Aluminium product (7601.10),Turkey,1175.69,894876.04,29.56,Sea,Temporary admission,Aluminium,Yes
121,2804.10,Hydrogen product (2804.10),Egypt,782.46,444544.74,16.46,Rail,Free circulation,Hydrogen,Yes
122,2804.10,Hydrogen product (2804.10),USA,1095.78,834931.9,20.29,Air,Temporary admission,Hydrogen,Yes
123,7214.91,Steel product (7214.91),Brazil,1922.77,1419923.18,22.79,Road,Transit,Steel,Yes
124,2716.00,Electricity product (2716.00),China,148.03,31901.31,0.83,Road,Inward processing,Electricity,Yes
125,2804.10,Hydrogen product (2804.10),Russia,197.94,117567.33,1.48,Air,Temporary admission,Hydrogen,Yes
126,7208.39,Steel product (7208.39),Turkey,644.76,450796.17,3.75,Air,Temporary admission,Steel,Yes
127,7601.10,Aluminium product (7601.10),Egypt,1630.79,543388.37,14.9,Road,Temporary admission,Aluminium,Yes
128,7214.91,Steel product (7214.91),China,1396.51,780387.73,49.87,Sea,Transit,Steel,Yes
129,2804.10,Hydrogen product (2804.10),Turkey,1472.79,990101.64,21.9,Air,Inward processing,Hydrogen,Yes
130,2804.10,Hydrogen product (2804.10),Brazil,363.1,231621.34,12.07,Air,Transit,Hydrogen,Yes
131,2716.00,Electricity product (2716.00),China,1981.11,828503.15,35.7,Sea,Transit,Electricity,Yes
132,2804.10,Hydrogen product (2804.10),USA,1555.06,577739.47,58.43,Rail,Transit,Hydrogen,Yes
133,2804.10,Hydrogen product (2804.10),USA,1718.24,736860.55,53.75,Sea,Inward processing,Hydrogen,Yes
134,7601.10,Aluminium product (7601.10),Russia,1511.54,328050.3,55.31,Road,Free circulation,Aluminium,Yes
135,7207.20,Steel product (7207.20),Egypt,1015.45,697814.55,16.45,Road,Transit,Steel,Yes
136,2523.90,Cement product (2523.90),India,1792.09,722178.38,9.64,Sea,Inward processing,Cement,Yes
137,7606.12,Aluminium product (7606.12),USA,1811.71,379256.74,29.31,Rail,Inward processing,Aluminium,Yes
138,2716.00,Electricity product (2716.00),South Africa,1900.62,1459475.92,47.65,Sea,Transit,Electricity,Yes
139,3102.60,Fertiliser product (3102.60),South Africa,1267.36,559526.25,19.34,Sea,Temporary admission,Fertiliser,Yes
140,7601.20,Aluminium product (7601.20),USA,664.04,389882.45,20.81,Air,Free circulation,Aluminium,Yes
141,7208.39,Steel product (7208.39),Saudi Arabia,1585.24,1051413.27,12.99,Rail,Free circulation,Steel,Yes
142,2804.10,Hydrogen product (2804.10),Turkey,993.9,186269.97,24.09,Road,Temporary admission,Hydrogen,Yes
143,7601.10,Aluminium product (7601.10),South Africa,888.65,646055.41,15.36,Rail,Transit,Aluminium,Yes
144,2523.29,Cement product (2523.29),USA,242.96,59025.82,7.69,Air,Free circulation,Cement,Yes
145,3102.60,Fertiliser product (3102.60),India,1240.25,267558.81,9.85,Road,Inward processing,Fertiliser,Yes
146,2523.90,Cement product (2523.90),China,1404.93,277187.0,47.44,Air,Temporary admission,Cement,Yes
147,2716.00,Electricity product (2716.00),Saudi Arabia,1415.42,287155.75,11.28,Rail,Temporary admission,Electricity,Yes
148,2523.90,Cement product (2523.90),Brazil,1973.41,776094.83,35.47,Air,Inward processing,Cement,Yes
149,7601.20,Aluminium product (7601.20),Ukraine,1627.47,1246172.62,64.3,Rail,Free circulation,Aluminium,Yes
150,7207.20,Steel product (7207.20),Turkey,1509.22,595491.02,11.96,Air,Temporary admission,Steel,Yes
151,2804.10,Hydrogen product (2804.10),South Africa,1556.52,798436.8,30.89,Road,Free circulation,Hydrogen,Yes
152,2523.29,Cement product (2523.29),USA,1813.65,403135.15,40.34,Air,Inward processing,Cement,Yes
153,3102.10,Fertiliser product (3102.10),Egypt,32.59,14816.37,0.23,Road,Transit,Fertiliser,Yes
154,2523.21,Cement product (2523.21),USA,246.45,55794.32,6.83,Sea,Temporary admission,Cement,Yes
155,2523.29,Cement product (2523.29),Turkey,1494.63,790942.8,57.81,Rail,Free circulation,Cement,Yes
156,2523.21,Cement product (2523.21),Turkey,755.99,253795.56,26.76,Sea,Transit,Cement,Yes
157,2716.00,Electricity product (2716.00),USA,454.96,353092.02,2.47,Sea,Transit,Electricity,Yes
158,3102.30,Fertiliser product (3102.30),China,1940.06,345435.33,70.21,Air,Inward processing,Fertiliser,Yes
159,2804.10,Hydrogen product (2804.10),South Africa,1060.13,843256.15,8.04,Air,Transit,Hydrogen,Yes
160,3102.30,Fertiliser product (3102.30),China,1112.17,867544.48,25.92,Rail,Temporary admission,Fertiliser,Yes
161,2804.10,Hydrogen product (2804.10),Ukraine,1262.5,760323.77,26.4,Rail,Transit,Hydrogen,Yes
162,2716.00,Electricity product (2716.00),Russia,1258.84,666938.85,46.0,Rail,Inward processing,Electricity,Yes
163,2523.90,Cement product (2523.90),Egypt,100.44,33408.96,3.84,Road,Free circulation,Cement,Yes
164,3102.30,Fertiliser product (3102.30),Brazil,1781.62,794917.67,47.58,Air,Free circulation,Fertiliser,Yes
165,3102.30,Fertiliser product (3102.30),China,561.99,153017.94,11.93,Road,Inward processing,Fertiliser,Yes
166,2804.10,Hydrogen product (2804.10),South Africa,713.17,377535.42,5.51,Air,Transit,Hydrogen,Yes
167,7601.10,Aluminium product (7601.10),Turkey,1949.05,1541770.63,57.37,Sea,Temporary admission,Aluminium,Yes
168,7208.39,Steel product (7208.39),Egypt,1076.83,378175.1,36.06,Air,Temporary admission,Steel,Yes
169,2716.00,Electricity product (2716.00),Turkey,1372.62,350980.32,50.63,Rail,Inward processing,Electricity,Yes
170,2523.21,Cement product (2523.21),India,1646.85,1263743.19,50.06,Road,Transit,Cement,Yes
171,2804.10,Hydrogen product (2804.10),South Africa,1230.7,519180.61,46.33,Sea,Transit,Hydrogen,Yes
172,2716.00,Electricity product (2716.00),Russia,1733.47,310970.89,10.27,Rail,Temporary admission,Electricity,Yes
173,3102.30,Fertiliser product (3102.30),South Africa,759.16,513844.78,30.03,Road,Inward processing,Fertiliser,Yes
174,2804.10,Hydrogen product (2804.10),China,309.33,165858.1,5.67,Rail,Free circulation,Hydrogen,Yes
175,3102.10,Fertiliser product (3102.10),USA,1940.13,1353002.62,66.63,Sea,Inward processing,Fertiliser,Yes
176,2523.29,Cement product (2523.29),South Africa,942.7,395587.72,13.73,Rail,Free circulation,Cement,Yes
177,2804.10,Hydrogen product (2804.10),USA,122.19,87007.78,4.09,Rail,Transit,Hydrogen,Yes
178,2716.00,Electricity product (2716.00),Saudi Arabia,1999.44,1595181.11,48.87,Road,Inward processing,Electricity,Yes
179,2523.21,Cement product (2523.21),Turkey,1540.28,1176924.44,53.51,Air,Temporary admission,Cement,Yes
180,2804.10,Hydrogen product (2804.10),USA,502.22,222409.98,4.78,Sea,Transit,Hydrogen,Yes
181,2523.29,Cement product (2523.29),Russia,1908.56,1038282.43,24.82,Sea,Transit,Cement,Yes
182,7601.20,Aluminium product (7601.20),USA,1346.68,743075.61,23.61,Air,Transit,Aluminium,Yes
183,2804.10,Hydrogen product (2804.10),Brazil,235.98,138407.6,5.48,Road,Transit,Hydrogen,Yes
184,2804.10,Hydrogen product (2804.10),India,1546.91,755056.48,53.87,Sea,Free circulation,Hydrogen,Yes
185,7214.91,Steel product (7214.91),Saudi Arabia,1108.29,570336.76,39.55,Rail,Transit,Steel,Yes
186,7601.20,Aluminium product (7601.20),Saudi Arabia,812.93,192753.75,4.88,Sea,Inward processing,Aluminium,Yes
187,7601.20,Aluminium product (7601.20),Turkey,1512.72,836838.53,44.84,Air,Inward processing,Aluminium,Yes
188,2716.00,Electricity product (2716.00),Egypt,433.8,103522.66,2.39,Air,Temporary admission,Electricity,Yes
189,2716.00,Electricity product (2716.00),USA,707.67,377504.08,13.25,Rail,Transit,Electricity,Yes
190,2716.00,Electricity product (2716.00),Egypt,880.58,649606.64,15.14,Air,Free circulation,Electricity,Yes
191,2716.00,Electricity product (2716.00),South Africa,1032.84,681028.32,19.5,Road,Free circulation,Electricity,Yes
192,2804.10,Hydrogen product (2804.10),India,1247.95,886713.91,47.71,Sea,Free circulation,Hydrogen,Yes
193,2523.90,Cement product (2523.90),Russia,302.68,227700.7,6.73,Sea,Inward processing,Cement,Yes
194,7214.91,Steel product (7214.91),India,523.91,234941.28,20.59,Rail,Temporary admission,Steel,Yes
195,7601.10,Aluminium product (7601.10),Russia,990.31,360164.4,26.91,Rail,Transit,Aluminium,Yes
196,2716.00,Electricity product (2716.00),China,487.89,97241.92,4.64,Sea,Transit,Electricity,Yes
197,7606.12,Aluminium product (7606.12),India,264.81,65867.98,2.61,Air,Temporary admission,Aluminium,Yes
198,3102.10,Fertiliser product (3102.10),China,1285.34,344756.54,21.98,Sea,Free circulation,Fertiliser,Yes
199,2523.29,Cement product (2523.29),Ukraine,1794.61,822066.09,50.9,Air,Free circulation,Cement,Yes
200,2804.10,Hydrogen product (2804.10),South Africa,352.92,97048.72,2.27,Rail,Free circulation,Hydrogen,Yes
201,2523.21,Cement product (2523.21),Russia,346.18,114614.56,3.88,Road,Free circulation,Cement,Yes
202,2804.10,Hydrogen product (2804.10),USA,186.52,42603.65,3.94,Sea,Temporary admission,Hydrogen,Yes
203,3102.60,Fertiliser product (3102.60),Saudi Arabia,420.6,162677.74,9.51,Rail,Free circulation,Fertiliser,Yes
204,3102.60,Fertiliser product (3102.60),Ukraine,1383.89,242945.89,45.64,Rail,Inward processing,Fertiliser,Yes
205,2716.00,Electricity product (2716.00),USA,1259.52,255863.14,44.81,Air,Transit,Electricity,Yes
206,2804.10,Hydrogen product (2804.10),Saudi Arabia,1842.54,349531.08,27.07,Road,Temporary admission,Hydrogen,Yes
207,2716.00,Electricity product (2716.00),Brazil,1614.34,1027315.61,18.5,Sea,Temporary admission,Electricity,Yes
208,2523.21,Cement product (2523.21),Saudi Arabia,426.61,166722.12,9.37,Road,Transit,Cement,Yes
209,3102.60,Fertiliser product (3102.60),China,1240.33,483473.03,26.28,Rail,Free circulation,Fertiliser,Yes
210,2716.00,Electricity product (2716.00),South Africa,1497.47,260326.3,20.72,Air,Inward processing,Electricity,Yes
211,2716.00,Electricity product (2716.00),Russia,1429.57,1046280.05,32.75,Rail,Transit,Electricity,Yes
212,7208.39,Steel product (7208.39),USA,1068.91,234798.7,22.08,Rail,Transit,Steel,Yes
213,2804.10,Hydrogen product (2804.10),South Africa,1069.91,329110.55,15.43,Sea,Free circulation,Hydrogen,Yes
214,2523.21,Cement product (2523.21),USA,760.8,124045.61,12.38,Sea,Transit,Cement,Yes
215,2716.00,Electricity product (2716.00),India,430.78,156318.55,3.96,Rail,Inward processing,Electricity,Yes
216,2523.21,Cement product (2523.21),Russia,1782.15,954938.51,51.27,Road,Inward processing,Cement,Yes
217,3102.60,Fertiliser product (3102.60),Saudi Arabia,1580.45,749113.43,12.71,Rail,Inward processing,Fertiliser,Yes
218,2804.10,Hydrogen product (2804.10),Egypt,1078.84,573345.99,33.54,Road,Temporary admission,Hydrogen,Yes
219,2804.10,Hydrogen product (2804.10),Brazil,869.0,202413.73,12.98,Road,Temporary admission,Hydrogen,Yes
220,3102.60,Fertiliser product (3102.60),Russia,732.53,417429.44,18.3,Road,Temporary admission,Fertiliser,Yes
221,3102.10,Fertiliser product (3102.10),Russia,718.63,568605.14,18.83,Air,Inward processing,Fertiliser,Yes
222,7606.12,Aluminium product (7606.12),India,482.08,104205.74,4.99,Air,Transit,Aluminium,Yes
223,2804.10,Hydrogen product (2804.10),Russia,499.46,127084.05,5.76,Air,Inward processing,Hydrogen,Yes
224,7214.91,Steel product (7214.91),Ukraine,577.34,151663.08,21.01,Sea,Free circulation,Steel,Yes
225,2523.21,Cement product (2523.21),Russia,169.67,83296.5,3.29,Air,Inward processing,Cement,Yes
226,7208.39,Steel product (7208.39),USA,1964.93,437836.09,37.19,Rail,Transit,Steel,Yes
227,7606.12,Aluminium product (7606.12),Russia,1939.25,1381870.05,65.15,Rail,Temporary admission,Aluminium,Yes
228,3102.60,Fertiliser product (3102.60),India,523.23,136603.28,14.86,Air,Inward processing,Fertiliser,Yes
229,2804.10,Hydrogen product (2804.10),India,1859.46,951849.91,46.5,Rail,Inward processing,Hydrogen,Yes
230,7214.91,Steel product (7214.91),Brazil,567.16,368750.65,6.55,Air,Temporary admission,Steel,Yes
231,2523.29,Cement product (2523.29),USA,654.12,279004.21,14.89,Air,Inward processing,Cement,Yes
232,2804.10,Hydrogen product (2804.10),India,492.4,110614.67,12.99,Sea,Transit,Hydrogen,Yes
233,2523.29,Cement product (2523.29),Ukraine,584.37,308433.32,6.08,Air,Temporary admission,Cement,Yes
234,2523.29,Cement product (2523.29),Ukraine,967.47,480042.29,6.59,Sea,Transit,Cement,Yes
235,3102.10,Fertiliser product (3102.10),Egypt,679.84,161373.31,4.91,Sea,Free circulation,Fertiliser,Yes
236,2523.21,Cement product (2523.21),USA,1980.02,711876.59,66.02,Road,Temporary admission,Cement,Yes
237,3102.10,Fertiliser product (3102.10),Ukraine,516.73,306408.89,16.33,Air,Transit,Fertiliser,Yes
238,7207.20,Steel product (7207.20),Egypt,1195.32,545692.89,23.21,Rail,Free circulation,Steel,Yes
239,2804.10,Hydrogen product (2804.10),China,704.25,531141.08,23.99,Air,Free circulation,Hydrogen,Yes
240,2804.10,Hydrogen product (2804.10),Brazil,1930.4,445523.18,59.03,Sea,Free circulation,Hydrogen,Yes
241,3102.10,Fertiliser product (3102.10),USA,1877.3,502743.74,13.76,Road,Free circulation,Fertiliser,Yes
242,2523.29,Cement product (2523.29),Ukraine,1484.83,777171.19,51.17,Sea,Free circulation,Cement,Yes
243,2523.29,Cement product (2523.29),Saudi Arabia,288.15,192174.08,3.47,Rail,Transit,Cement,Yes
244,2523.90,Cement product (2523.90),Saudi Arabia,335.68,86193.48,11.25,Rail,Inward processing,Cement,Yes
245,2804.10,Hydrogen product (2804.10),Turkey,1333.74,653522.63,23.42,Air,Temporary admission,Hydrogen,Yes
246,7606.12,Aluminium product (7606.12),Russia,1755.63,711186.96,58.96,Air,Free circulation,Aluminium,Yes
247,2716.00,Electricity product (2716.00),Russia,883.88,349144.87,18.73,Road,Transit,Electricity,Yes
248,2523.90,Cement product (2523.90),Ukraine,609.74,387761.77,13.78,Rail,Free circulation,Cement,Yes
249,7601.10,Aluminium product (7601.10),South Africa,472.1,346862.95,8.7,Air,Inward processing,Aluminium,Yes
